passage,snps,segment
1,0,S Segment
2,12,S Segment
3,3,S Segment
4,5,S Segment
5,7,S Segment
6,10,S Segment
7,6,S Segment
8,4,S Segment
9,9,S Segment
10,7,S Segment
1,4,M Segment
2,8,M Segment
3,16,M Segment
4,10,M Segment
5,3,M Segment
6,9,M Segment
7,5,M Segment
8,28,M Segment
9,5,M Segment
10,1,M Segment
1,7,L Segment
2,4,L Segment
3,8,L Segment
4,3,L Segment
5,5,L Segment
6,1,L Segment
7,0,L Segment
8,0,L Segment
9,0,L Segment
10,4,L Segment
